* taken from https://www.bksv.com/media/doc/bp0521.pdf
* frequency,raw
19.942, -1.0748
21.163, -1.0047
22.106, -1.3318
23.505, -0.72430
26.472, -1.1916
28.316, -0.91121
29.872, -0.79439
31.702, -1.1215
33.643, -1.0748
35.142, -1.2150
37.889, -1.2150
39.420, -1.0748
42.586, -1.0748
46.098, -1.0047
49.212, -0.98131
52.227, -1.2850
56.421, -1.0047
59.638, -0.74766
62.791, -0.93458
68.238, -0.86449
79.798, -0.77103
90.049, -0.95794
101.81, -0.63084
115.12, -0.11682
130.42, 0.046729
145.72, 0.023364
162.81, 0.28037
186.29, 0.11682
211.48, 0.093458
243.41, 0.60748
271.97, 0.56075
308.12, 0.56075
342.90, 0.79439
372.63, 1.7056
412.26, 1.1916
457.00, 1.0280
504.56, 1.8692
563.76, 1.6822
619.98, 2.1495
661.83, 3.3411
739.48, 3.2710
822.96, 3.5514
910.41, 4.2991
1001.3, 3.8318
1101.1, 4.4860
1177.8, 5.4206
1287.5, 6.0047
1358.3, 5.9813
1432.9, 5.6776
1502.6, 6.8224
1591.4, 8.1542
1750.1, 8.9252
1871.9, 10.117
2050.4, 11.028
2180.1, 12.150
2369.2, 12.921
2499.2, 14.182
2646.8, 15.397
2842.5, 15.117
3040.5, 15.374
3226.9, 14.206
3548.7, 14.720
3796.1, 13.762
4233.2, 13.435
4600.7, 12.477
5059.8, 11.846
5520.8, 11.215
6047.8, 10.257
6598.9, 9.2056
7300.6, 8.8551
7997.1, 8.8084
8221.4, 10.210
8286.3, 11.495
8468.3, 12.944
8705.8, 14.416
8950.1, 15.631
9257.0, 14.766
9405.6, 13.318
9575.4, 11.893
9633.1, 10.584
9710.5, 9.1355
9846.8, 7.6636
9886.5, 6.3551
10085, 5.7710
10265, 7.1262
10387, 8.5748
10615, 10.117
10936, 8.5981
11222, 7.5000
11378, 8.6916
11628, 10.093
11837, 11.308
12194, 10.000
12538, 8.7617
13072, 7.4299
13601, 6.0748
13819, 5.2103
14038, 6.5654
15104, 8.9019
15467, 9.5093
15996, 10.888
16447, 9.5093
16810, 8.0607
18451, 7.9907
19465, 7.6869
19934, 6.2617
20093, 5.8879
