* Freq(Hz), SPL(dB)
10.000000, 0.000
10.072464, 0.000
10.145453, 0.000
10.218971, 0.000
10.293022, 0.000
10.367610, 0.000
10.442738, 0.000
10.518410, 0.000
10.594631, 0.000
10.671404, 0.000
10.748733, 0.000
10.826623, 0.000
10.905077, 0.000
10.984100, 0.000
11.063695, 0.000
11.143867, 0.000
11.224620, 0.000
11.305959, 0.000
11.387886, 0.000
11.470408, 0.000
11.553527, 0.000
11.637249, 0.000
11.721577, 0.000
11.806516, 0.000
11.892071, 0.000
11.978246, 0.000
12.065045, 0.000
12.152474, 0.000
12.240535, 0.000
12.329235, 0.000
12.418578, 0.000
12.508568, 0.000
12.599210, 0.000
12.690510, 0.000
12.782470, 0.000
12.875097, 0.000
12.968396, 0.000
13.062370, 0.000
13.157025, 0.000
13.252366, 0.000
13.348399, 0.000
13.445127, 0.000
13.542555, 0.000
13.640690, 0.000
13.739536, 0.000
13.839099, 0.000
13.939383, 0.000
14.040393, 0.000
14.142136, 0.000
14.244615, 0.000
14.347838, 0.000
14.451808, 0.000
14.556532, 0.000
14.662014, 0.000
14.768261, 0.000
14.875278, 0.000
14.983071, 0.000
15.091644, 0.000
15.201005, 0.000
15.311157, 0.000
15.422108, 0.000
15.533863, 0.000
15.646428, 0.000
15.759808, 0.000
15.874011, 0.000
15.989040, 0.000
16.104903, 0.000
16.221606, 0.000
16.339155, 0.000
16.457555, 0.000
16.576813, 0.000
16.696935, 0.000
16.817928, 0.000
16.939798, 0.000
17.062551, 0.000
17.186193, 0.000
17.310731, 0.000
17.436172, 0.000
17.562522, 0.000
17.689787, 0.000
17.817974, 0.000
17.947091, 0.000
18.077143, 0.000
18.208137, 0.000
18.340081, 0.000
18.472981, 0.000
18.606843, 0.000
18.741676, 0.000
18.877486, 0.000
19.014280, 0.000
19.152066, 0.000
19.290849, 0.000
19.430639, 0.000
19.571441, 0.000
19.713264, 0.000
19.856114, 0.000
20.000000, 0.000
20.144928, 0.000
20.290907, 0.000
20.437943, 0.000
20.586045, 0.000
20.735220, 0.000
20.885476, 0.000
21.036820, 0.000
21.189262, 0.000
21.342808, 0.000
21.497467, 0.000
21.653246, 0.000
21.810155, 0.000
21.968200, 0.000
22.127391, 0.000
22.287735, 0.000
22.449241, 0.000
22.611917, 0.000
22.775773, 0.000
22.940815, 0.000
23.107054, 0.000
23.274497, 0.000
23.443154, 0.000
23.613033, 0.000
23.784142, 0.000
23.956492, 0.000
24.130091, 0.000
24.304947, 0.000
24.481071, 0.000
24.658471, 0.000
24.837156, 0.000
25.017137, 0.000
25.198421, 0.000
25.381019, 0.000
25.564940, 0.000
25.750195, 0.000
25.936791, 0.000
26.124740, 0.000
26.314050, 0.000
26.504733, 0.000
26.696797, 0.000
26.890253, 0.000
27.085111, 0.000
27.281381, 0.000
27.479073, 0.000
27.678198, 0.000
27.878765, 0.000
28.080786, 0.000
28.284271, 0.000
28.489231, 0.000
28.695675, 0.000
28.903616, 0.000
29.113064, 0.000
29.324029, 0.000
29.536523, 0.000
29.750557, 0.000
29.966142, 0.000
30.183289, 0.000
30.402009, 0.000
30.622315, 0.000
30.844217, 0.000
31.067726, 0.000
31.292856, 0.000
31.519617, 0.000
31.748021, 0.000
31.978080, 0.000
32.209807, 0.000
32.443212, 0.000
32.678309, 0.000
32.915110, 0.000
33.153626, 0.000
33.393871, 0.000
33.635857, 0.000
33.879596, 0.000
34.125101, 0.000
34.372386, 0.000
34.621462, 0.000
34.872344, 0.000
35.125043, 0.000
35.379574, 0.000
35.635949, 0.000
35.894182, 0.000
36.154286, 0.000
36.416274, 0.000
36.680162, 0.000
36.945961, 0.000
37.213687, 0.000
37.483353, 0.000
37.754973, 0.000
38.028561, 0.000
38.304131, 0.000
38.581699, 0.000
38.861278, 0.000
39.142882, 0.000
39.426528, 0.000
39.712229, 0.000
40.000000, 0.000
40.289856, 0.000
40.581813, 0.000
40.875886, 0.000
41.172089, 0.000
41.470439, 0.000
41.770951, 0.000
42.073641, 0.000
42.378524, 0.000
42.685616, 0.000
42.994934, 0.000
43.306493, 0.000
43.620309, 0.000
43.936400, 0.000
44.254781, 0.000
44.575470, 0.000
44.898482, 0.000
45.223835, 0.000
45.551545, 0.000
45.881631, 0.000
46.214108, 0.000
46.548994, 0.000
46.886308, 0.000
47.226065, 0.000
47.568285, 0.000
47.912984, 0.000
48.260181, 0.000
48.609894, 0.000
48.962142, 0.000
49.316942, 0.000
49.674312, 0.000
50.034273, 0.000
50.396842, 0.000
50.762038, 0.000
51.129881, 0.000
51.500389, 0.000
51.873582, 0.000
52.249480, 0.000
52.628101, 0.000
53.009466, 0.000
53.393594, 0.000
53.780506, 0.000
54.170222, 0.000
54.562762, 0.000
54.958146, 0.000
55.356395, 0.000
55.757531, 0.000
56.161573, 0.000
56.568542, 0.000
56.978461, 0.000
57.391351, 0.000
57.807232, 0.000
58.226127, 0.000
58.648058, 0.000
59.073046, 0.000
59.501113, 0.000
59.932283, 0.000
60.366577, 0.000
60.804018, 0.000
61.244629, 0.000
61.688433, 0.000
62.135453, 0.000
62.585712, 0.000
63.039234, 0.000
63.496042, 0.000
63.956161, 0.000
64.419613, 0.000
64.886424, 0.000
65.356618, 0.000
65.830219, 0.000
66.307252, 0.000
66.787742, 0.000
67.271713, 0.000
67.759192, 0.000
68.250203, 0.000
68.744772, 0.000
69.242925, 0.000
69.744688, 0.000
70.250086, 0.000
70.759147, 0.000
71.271897, 0.000
71.788363, 0.000
72.308571, 0.000
72.832549, 0.000
73.360323, 0.000
73.891923, 0.000
74.427374, 0.000
74.966705, 0.000
75.509945, 0.000
76.057121, 0.000
76.608262, 0.000
77.163398, 0.000
77.722555, 0.000
78.285765, 0.000
78.853056, 0.000
79.424458, 0.000
80.000000, 0.000
80.579713, 0.000
81.163627, 0.000
81.751772, 0.000
82.344179, 0.000
82.940879, 0.000
83.541903, 0.000
84.147282, 0.000
84.757048, 0.000
85.371232, 0.000
85.989867, 0.000
86.612985, 0.000
87.240619, 0.000
87.872800, 0.000
88.509563, 0.000
89.150939, 0.000
89.796964, 0.000
90.447670, 0.000
91.103091, 0.000
91.763261, 0.000
92.428216, 0.000
93.097989, 0.000
93.772615, 0.000
94.452130, 0.000
95.136569, 0.000
95.825968, 0.000
96.520362, 0.000
97.219789, 0.000
97.924283, 0.000
98.633883, 0.000
99.348625, 0.000
100.068546, 0.000
100.793684, 0.000
101.524077, 0.000
102.259762, 0.000
103.000778, 0.000
103.747164, 0.000
104.498959, 0.000
105.256202, 0.000
106.018931, 0.000
106.787188, 0.000
107.561012, 0.000
108.340444, 0.000
109.125523, 0.000
109.916292, 0.000
110.712791, 0.000
111.515061, 0.000
112.323145, 0.000
113.137085, 0.000
113.956923, 0.000
114.782702, 0.000
115.614465, 0.000
116.452255, 0.000
117.296116, 0.000
118.146092, 0.000
119.002227, 0.000
119.864566, 0.000
120.733154, 0.000
121.608036, 0.000
122.489258, 0.000
123.376866, 0.000
124.270906, 0.000
125.171424, 0.000
126.078468, 0.000
126.992084, 0.000
127.912321, 0.000
128.839227, 0.000
129.772849, 0.000
130.713236, 0.000
131.660438, 0.000
132.614504, 0.000
133.575483, 0.000
134.543426, 0.000
135.518384, 0.000
136.500406, 0.000
137.489544, 0.000
138.485850, 0.000
139.489375, 0.000
140.500173, 0.000
141.518295, 0.000
142.543795, 0.000
143.576726, 0.000
144.617142, 0.000
145.665098, 0.000
146.720647, 0.000
147.783845, 0.000
148.854748, 0.000
149.933411, 0.000
151.019890, 0.000
152.114242, 0.000
153.216525, 0.000
154.326795, 0.000
155.445111, 0.000
156.571530, 0.000
157.706112, 0.000
158.848915, 0.000
160.000000, 0.000
161.159426, 0.000
162.327254, 0.000
163.503544, 0.000
164.688358, 0.000
165.881758, 0.000
167.083805, 0.000
168.294563, 0.000
169.514095, 0.000
170.742464, 0.000
171.979734, 0.000
173.225970, 0.000
174.481237, 0.000
175.745600, 0.000
177.019125, 0.000
178.301879, 0.000
179.593928, 0.000
180.895339, 0.000
182.206182, 0.000
183.526523, 0.000
184.856431, 0.000
186.195977, 0.000
187.545230, 0.000
188.904260, 0.000
190.273138, 0.000
191.651936, 0.000
193.040725, 0.000
194.439578, 0.000
195.848567, 0.000
197.267766, 0.000
198.697250, 0.000
200.137092, 0.000
201.587368, 0.000
203.048153, 0.000
204.519524, 0.000
206.001557, 0.000
207.494329, 0.000
208.997918, 0.000
210.512403, 0.000
212.037863, 0.000
213.574377, 0.000
215.122025, 0.000
216.680888, 0.000
218.251047, 0.000
219.832584, 0.000
221.425581, 0.000
223.030122, 0.000
224.646290, 0.000
226.274170, 0.000
227.913846, 0.000
229.565404, 0.000
231.228929, 0.000
232.904509, 0.000
234.592231, 0.000
236.292183, 0.000
238.004454, 0.000
239.729132, 0.000
241.466308, 0.000
243.216073, 0.000
244.978517, 0.000
246.753732, 0.000
248.541811, 0.000
250.342848, 0.000
252.156935, 0.000
253.984168, 0.000
255.824642, 0.000
257.678453, 0.000
259.545697, 0.000
261.426473, 0.000
263.320877, 0.000
265.229008, 0.000
267.150967, 0.000
269.086853, 0.000
271.036767, 0.000
273.000811, 0.000
274.979088, 0.000
276.971700, 0.000
278.978751, 0.000
281.000346, 0.000
283.036590, 0.000
285.087590, 0.000
287.153452, 0.000
289.234284, 0.000
291.330195, 0.000
293.441294, 0.000
295.567690, 0.000
297.709496, 0.000
299.866821, 0.000
302.039780, 0.000
304.228485, 0.000
306.433050, 0.000
308.653590, 0.000
310.890221, 0.000
313.143060, 0.000
315.412224, 0.000
317.697831, 0.000
320.000000, 0.000
322.318852, 0.000
324.654507, 0.000
327.007088, 0.000
329.376716, 0.000
331.763515, 0.000
334.167610, 0.000
336.589127, 0.000
339.028190, 0.000
341.484928, 0.000
343.959469, 0.000
346.451941, 0.000
348.962474, 0.000
351.491200, 0.000
354.038251, 0.000
356.603758, 0.000
359.187855, 0.000
361.790679, 0.000
364.412363, 0.000
367.053045, 0.000
369.712863, 0.000
372.391955, 0.000
375.090460, 0.000
377.808521, 0.000
380.546277, 0.000
383.303872, 0.000
386.081450, 0.000
388.879155, 0.000
391.697134, 0.000
394.535533, 0.000
397.394500, 0.000
400.274184, 0.000
403.174736, 0.000
406.096306, 0.000
409.039048, 0.000
412.003113, 0.000
414.988657, 0.000
417.995836, 0.000
421.024807, 0.000
424.075726, 0.000
427.148753, 0.000
430.244049, 0.000
433.361775, 0.000
436.502093, 0.000
439.665167, 0.000
442.851162, 0.000
446.060244, 0.000
449.292581, 0.000
452.548340, 0.000
455.827692, 0.000
459.130807, 0.000
462.457858, 0.000
465.809019, 0.000
469.184463, 0.000
472.584367, 0.000
476.008908, 0.000
479.458265, 0.000
482.932617, 0.000
486.432146, 0.000
489.957033, 0.000
493.507464, 0.000
497.083623, 0.000
500.685695, 0.000
504.313870, 0.000
507.968337, 0.000
511.649285, 0.000
515.356906, 0.000
519.091395, 0.000
522.852945, 0.000
526.641753, 0.000
530.458016, 0.000
534.301934, 0.000
538.173706, 0.000
542.073534, 0.000
546.001623, 0.000
549.958175, 0.000
553.943399, 0.000
557.957501, 0.000
562.000691, 0.000
566.073180, 0.000
570.175180, 0.000
574.306904, 0.000
578.468569, 0.000
582.660390, 0.000
586.882588, 0.000
591.135381, 0.000
595.418991, 0.000
599.733643, 0.000
604.079560, 0.000
608.456970, 0.000
612.866100, 0.000
617.307180, 0.000
621.780442, 0.000
626.286120, 0.000
630.824447, 0.000
635.395661, 0.000
640.000000, 0.000
644.637704, 0.000
649.309014, 0.000
654.014175, 0.000
658.753431, 0.000
663.527030, 0.000
668.335221, 0.000
673.178253, 0.000
678.056380, 0.000
682.969856, 0.000
687.918938, 0.000
692.903882, 0.000
697.924949, 0.000
702.982401, 0.000
708.076501, 0.000
713.207515, 0.000
718.375711, 0.000
723.581357, 0.000
728.824726, 0.000
734.106091, 0.000
739.425726, 0.000
744.783910, 0.000
750.180921, 0.000
755.617041, 0.000
761.092554, 0.000
766.607744, 0.000
772.162900, 0.000
777.758310, 0.000
783.394268, 0.000
789.071066, 0.000
794.789000, 0.000
800.548368, 0.000
806.349472, 0.000
812.192613, 0.000
818.078095, 0.000
824.006226, 0.000
829.977315, 0.000
835.991673, 0.000
842.049613, 0.000
848.151452, 0.000
854.297507, 0.000
860.488099, 0.000
866.723550, 0.000
873.004186, 0.000
879.330334, 0.000
885.702324, 0.000
892.120489, 0.000
898.585161, 0.000
905.096680, 0.000
911.655384, 0.000
918.261614, 0.000
924.915716, 0.000
931.618037, 0.000
938.368925, 0.000
945.168733, 0.000
952.017816, 0.000
958.916529, 0.000
965.865234, 0.000
972.864291, 0.000
979.914067, 0.000
987.014928, 0.000
994.167245, 0.000
1001.371391, 0.000
1008.627741, 0.000
1015.936673, 0.000
1023.298569, 0.000
1030.713812, 0.000
1038.182790, 0.000
1045.705890, 0.000
1053.283506, 0.000
1060.916032, 0.000
1068.603867, 0.000
1076.347412, 0.000
1084.147069, 0.000
1092.003245, 0.000
1099.916351, 0.000
1107.886798, 0.000
1115.915003, 0.000
1124.001383, 0.000
1132.146360, 0.000
1140.350359, 0.000
1148.613808, 0.000
1156.937137, 0.000
1165.320781, 0.000
1173.765175, 0.000
1182.270762, 0.000
1190.837983, 0.000
1199.467286, 0.000
1208.159120, 0.000
1216.913939, 0.000
1225.732199, 0.000
1234.614360, 0.000
1243.560885, 0.000
1252.572239, 0.000
1261.648894, 0.000
1270.791322, 0.000
1280.000000, 0.000
1289.275408, 0.000
1298.618029, 0.000
1308.028350, 0.000
1317.506863, 0.000
1327.054061, 0.000
1336.670442, 0.000
1346.356507, 0.000
1356.112761, 0.000
1365.939713, 0.000
1375.837875, 0.000
1385.807763, 0.000
1395.849898, 0.000
1405.964802, 0.000
1416.153002, 0.000
1426.415031, 0.000
1436.751422, 0.000
1447.162715, 0.000
1457.649452, 0.000
1468.212181, 0.000
1478.851452, 0.000
1489.567819, 0.000
1500.361842, 0.000
1511.234082, 0.000
1522.185107, 0.000
1533.215488, 0.000
1544.325799, 0.000
1555.516621, 0.000
1566.788535, 0.000
1578.142131, 0.000
1589.577999, 0.000
1601.096737, 0.000
1612.698944, 0.000
1624.385225, 0.000
1636.156190, 0.000
1648.012452, 0.000
1659.954630, 0.000
1671.983345, 0.000
1684.099226, 0.000
1696.302903, 0.000
1708.595013, 0.000
1720.976197, 0.000
1733.447100, 0.000
1746.008372, 0.000
1758.660669, 0.000
1771.404649, 0.000
1784.240977, 0.000
1797.170323, 0.000
1810.193360, 0.000
1823.310767, 0.000
1836.523229, 0.000
1849.831433, 0.000
1863.236074, 0.000
1876.737851, 0.000
1890.337467, 0.000
1904.035631, 0.000
1917.833058, 0.000
1931.730467, 0.000
1945.728583, 0.000
1959.828134, 0.000
1974.029857, 0.000
1988.334491, 0.000
2002.742782, 0.000
2017.255482, 0.000
2031.873347, 0.000
2046.597138, 0.000
2061.427625, 0.000
2076.365579, 0.000
2091.411780, 0.000
2106.567012, 0.000
2121.832065, 0.000
2137.207735, 0.000
2152.694823, 0.000
2168.294137, 0.000
2184.006490, 0.000
2199.832702, 0.000
2215.773596, 0.000
2231.830005, 0.000
2248.002765, 0.000
2264.292720, 0.000
2280.700718, 0.000
2297.227616, 0.000
2313.874274, 0.000
2330.641561, 0.000
2347.530351, 0.000
2364.541523, 0.000
2381.675966, 0.000
2398.934572, 0.000
2416.318240, 0.000
2433.827878, 0.000
2451.464399, 0.000
2469.228720, 0.000
2487.121769, 0.000
2505.144479, 0.000
2523.297789, 0.000
2541.582644, 0.000
2560.000000, 0.000
2578.550815, 0.000
2597.236057, 0.000
2616.056701, 0.000
2635.013726, 0.000
2654.108121, 0.000
2673.340883, 0.000
2692.713013, 0.000
2712.225522, 0.000
2731.879426, 0.000
2751.675750, 0.000
2771.615527, 0.000
2791.699796, 0.000
2811.929603, 0.000
2832.306004, 0.000
2852.830061, 0.000
2873.502844, 0.000
2894.325430, 0.000
2915.298905, 0.000
2936.424363, 0.000
2957.702904, 0.000
2979.135638, 0.000
3000.723683, 0.000
3022.468164, 0.000
3044.370214, 0.000
3066.430976, 0.000
3088.651599, 0.000
3111.033242, 0.000
3133.577071, 0.000
3156.284262, 0.000
3179.155999, 0.000
3202.193474, 0.000
3225.397888, 0.000
3248.770450, 0.000
3272.312380, 0.000
3296.024905, 0.000
3319.909260, 0.000
3343.966691, 0.000
3368.198452, 0.000
3392.605806, 0.000
3417.190027, 0.000
3441.952394, 0.000
3466.894200, 0.000
3492.016745, 0.000
3517.321337, 0.000
3542.809298, 0.000
3568.481954, 0.000
3594.340646, 0.000
3620.386720, 0.000
3646.621534, 0.000
3673.046457, 0.000
3699.662866, 0.000
3726.472148, 0.000
3753.475701, 0.000
3780.674934, 0.000
3808.071263, 0.000
3835.666117, 0.000
3863.460935, 0.000
3891.457165, 0.000
3919.656268, 0.000
3948.059713, 0.000
3976.668981, 0.000
4005.485564, 0.000
4034.510963, 0.000
4063.746693, 0.000
4093.194277, 0.000
4122.855250, 0.000
4152.731158, 0.000
4182.823560, 0.000
4213.134024, 0.000
4243.664130, 0.000
4274.415470, 0.000
4305.389646, 0.000
4336.588274, 0.000
4368.012981, 0.000
4399.665403, 0.000
4431.547192, 0.000
4463.660010, 0.000
4496.005531, 0.000
4528.585440, 0.000
4561.401437, 0.000
4594.455232, 0.000
4627.748549, 0.000
4661.283122, 0.000
4695.060701, 0.000
4729.083046, 0.000
4763.351932, 0.000
4797.869143, 0.000
4832.636481, 0.000
4867.655757, 0.000
4902.928797, 0.000
4938.457440, 0.000
4974.243539, 0.000
5010.288958, 0.000
5046.595577, 0.000
5083.165289, 0.000
5120.000000, 0.000
5157.101631, 0.000
5194.472115, 0.000
5232.113401, 0.000
5270.027452, 0.000
5308.216243, 0.000
5346.681766, 0.000
5385.426026, 0.000
5424.451043, 0.000
5463.758851, 0.000
5503.351500, 0.000
5543.231054, 0.000
5583.399591, 0.000
5623.859206, 0.000
5664.612008, 0.000
5705.660122, 0.000
5747.005687, 0.000
5788.650860, 0.000
5830.597810, 0.000
5872.848725, 0.000
5915.405808, 0.000
5958.271277, 0.000
6001.447367, 0.000
6044.936328, 0.000
6088.740429, 0.000
6132.861952, 0.000
6177.303198, 0.000
6222.066483, 0.000
6267.154142, 0.000
6312.568524, 0.000
6358.311998, 0.000
6404.386948, 0.000
6450.795775, 0.000
6497.540901, 0.000
6544.624761, 0.000
6592.049809, 0.000
6639.818520, 0.000
6687.933382, 0.000
6736.396904, 0.000
6785.211613, 0.000
6834.380053, 0.000
6883.904789, 0.000
6933.788400, 0.000
6984.033489, 0.000
7034.642675, 0.000
7085.618596, 0.000
7136.963909, 0.000
7188.681291, 0.000
7240.773439, 0.000
7293.243069, 0.000
7346.092914, 0.000
7399.325732, 0.000
7452.944296, 0.000
7506.951403, 0.000
7561.349867, 0.000
7616.142525, 0.000
7671.332234, 0.000
7726.921869, 0.000
7782.914330, 0.000
7839.312536, 0.000
7896.119426, 0.000
7953.337962, 0.000
8010.971128, 0.000
8069.021927, 0.000
8127.493386, 0.000
8186.388553, 0.000
8245.710500, 0.000
8305.462317, 0.000
8365.647121, 0.000
8426.268048, 0.000
8487.328260, 0.000
8548.830939, 0.000
8610.779292, 0.000
8673.176549, 0.000
8736.025961, 0.000
8799.330806, 0.000
8863.094385, 0.000
8927.320020, 0.000
8992.011061, 0.000
9057.170880, 0.000
9122.802874, 0.000
9188.910464, 0.000
9255.497097, 0.000
9322.566244, 0.000
9390.121402, 0.000
9458.166093, 0.000
9526.703863, 0.000
9595.738287, 0.000
9665.272962, 0.000
9735.311514, 0.000
9805.857594, 0.000
9876.914881, 0.000
9948.487077, 0.000
10020.577916, 0.000
10093.191154, 0.000
10166.330578, 0.000
10240.000000, 0.000
10314.203261, 0.000
10388.944230, 0.000
10464.226802, 0.000
10540.054903, 0.000
10616.432486, 0.000
10693.363532, 0.000
10770.852052, 0.000
10848.902086, 0.000
10927.517703, 0.000
11006.703001, 0.000
11086.462108, 0.000
11166.799182, 0.000
11247.718413, 0.000
11329.224017, 0.000
11411.320244, 0.000
11494.011375, 0.000
11577.301719, 0.000
11661.195620, 0.000
11745.697450, 0.000
11830.811616, 0.000
11916.542554, 0.000
12002.894734, 0.000
12089.872657, 0.000
12177.480858, 0.000
12265.723904, 0.000
